feature,cv,best_iter
V146,0.5134985535005373,207.0
V147,0.5133335545514469,339.0
V148,0.5140596348626569,180.0
V149,0.5139526220167822,97.0
V150,0.5254267044200102,694.0
V151,0.5188401701406816,120.0
V152,0.5270735080059595,531.0
V153,Running,
V154,0.5137594741974923,205.0
V155,0.5136874449508781,155.0
V156,0.5135916494037519,155.0
V157,0.5135518907130964,319.0
V158,0.5138870732101685,94.0
V159,0.5265848087967557,474.0
V160,0.5278297203722722,413.0
V161,Running,
V162,0.513210898163271,82.0
V163,0.5132628327448212,800.0
V164,0.5285340889428622,800.0
V165,0.5283091119725514,800.0
V166,0.5269445872285847,800.0
V167,0.5296144660717248,125.0
V168,0.5300640590914762,128.0
V169,0.528073382563106,569.0
V170,0.5283458166132649,194.0
V171,0.529941092010821,119.0
V172,0.5282736037083251,126.0
V173,0.5285000873716255,194.0
V174,0.5283923051522069,245.0
V175,Running,
V176,0.5283032599169407,132.0
V177,0.5295626115126263,92.0
V178,0.530578967686995,513.0
V179,0.5300571783136312,126.0
V180,0.5303546668709959,364.0
V181,0.529990908993728,354.0
V182,0.5308197036453252,367.0
V183,0.530163418588072,364.0
V184,0.5281017130530021,354.0
V185,0.5298032566809514,363.0
V186,0.5286187084880969,270.0
V187,0.528979600648391,221.0
V188,0.528637200897352,99.0
V189,0.528227701553004,272.0
V190,0.528473727515279,198.0
V191,0.5287575605005929,165.0
V192,0.52906773466248,800.0
V193,0.528641739913011,800.0
V194,0.5287044478923048,159.0
V195,0.5283875712031005,191.0
V196,0.5290546935260858,502.0
V197,0.5281229812247296,794.0
V198,0.5282882330786882,397.0
V199,0.5284083413081211,226.0
V200,Running,
V201,0.5282914124792443,287.0
V202,0.531284181822796,231.0
V203,Running,
V204,0.5320590854461457,169.0
V205,0.530505594578699,800.0
V206,0.5292311826974607,529.0
V207,0.5317273063648702,445.0
V208,0.5319777056394525,800.0
V209,Running,
V210,0.5317020111657705,800.0
V211,0.5315945100912444,254.0
V212,0.5321273126310141,466.0
V213,0.5315750696318107,229.0
V214,0.5311063097696299,800.0
V215,0.5322089326011452,800.0
V216,0.5314066995633175,567.0
V217,0.5260326719086057,73.0
V218,0.5261063891838349,83.0
V219,0.5257554626960339,73.0
